Type,No.,Address,City,St.,Opened,Closed,County
Supercenter,766,3100 Hough Road,Florence,AL,"March 27, 1996",,Lauderdale County
Supercenter,4187,2701 Cloverdale Road,Florence,AL,"January 15, 2014",,Lauderdale County
Neighborhood Market,4188,1410 Florence Boulevard,Florence,AL,"June 12, 2013",,Lauderdale County
Discount Store,904,1100 South McKenzie Street,Foley,AL,"January 21, 1986","October 19, 1993",N/A
Supercenter,904,2200 South McKenzie Street,Foley,AL,"October 20, 1993",,N/A
Discount Store,691,"DeKalb Plaza, 100 DeKalb Plaza Boulevard",Fort Payne,AL,"July 4, 1981",October 1996,N/A
Supercenter,691,2001 Glenn Boulevard Southwest,Fort Payne,AL,October 1996,,DeKalb County
Discount Store,301,3000 East Meighan Boulevard,Gadsden,AL,"August 12, 1980",November 1990,Etowah County
Discount Store,301,401 George Wallace Drive,Gadsden,AL,November 1990,"April 12, 2005",N/A
Supercenter,301,340 East Meighan Boulevard,Gadsden,AL,"April 13, 2005",,Etowah County
Discount Store,1201,655 Fieldstown Road,Gardendale,AL,"August 6, 1988","May 20, 2003",Jefferson County
Supercenter,1201,890 Odum Road,Gardendale,AL,"May 21, 2003",,Jefferson County
Discount Store,1063,1608 West Magnolia Avenue,Geneva,AL,"September 1, 1987",,Geneva County
Neighborhood Market,3769,3530 Cathedral Caverns Highway,Grant,AL,"November 12, 2014","January 28, 2016",Marshall County
Discount Store,1462,129 Interstate Drive,Greenville,AL,"April 30, 1990","August 24, 2004",Butler County
Supercenter,1462,501 Willow Lane,Greenville,AL,"August 25, 2004",,Butler County
Supercenter,2748,170 Fort Morgan Road,Gulf Shores,AL,"July 21, 2004",,N/A
Discount Store,681,"Southgate Plaza, 14300 US Highway 431",Guntersville,AL,"July 4, 1981","February 20, 1996",N/A
Supercenter,681,11697 US Highway 431,Guntersville,AL,"February 21, 1996",,N/A
Neighborhood Market,2235,6361 Highway 72 East,Gurley,AL,"December 3, 2014","January 28, 2016",N/A
Discount Store,409,42417 Highway 195,Haleyville,AL,"October 13, 1981","May 7, 2013",N/A
Supercenter,409,42466 Highway 195,Haleyville,AL,"May 8, 2013",,N/A
Discount Store,1100,1500 Military Street South,Hamilton,AL,"December 31, 1987","July 17, 2007",Marion County
Supercenter,1100,1706 Military Street South,Hamilton,AL,"July 18, 2007",,Marion County
Discount Store,1124,"Town & Country Plaza, 800 Highway 31 Southwest",Hartselle,AL,"October 1, 1987","September 9, 1997",N/A
Supercenter,1124,1201 Highway 31 Northwest,Hartselle,AL,"September 10, 1997",,N/A
Supercenter,6878,14595 North Highway 231/432 North,Hazel Green,AL,"March 11, 2015",,N/A
Neighborhood Market,2173,14331 County Road 99,Headland,AL,"September 24, 2014","January 28, 2016",N/A
Neighborhood Market,4189,335 Helena Market Place,Helena,AL,"November 6, 2013",,N/A
Discount Store,1481,209 Lakeshore Parkway,Homewood,AL,"October 29, 1990","April 29, 1998",Jefferson County
Supercenter,1481,209 Lakeshore Parkway,Homewood,AL,"April 30, 1998",,Jefferson County
Discount Store,1229,1855 Montgomery Highway,Hoover,AL,"April 3, 1989","August 13, 2002",Shelby County
Supercenter,1229,2780 John Hawkins Parkway,Hoover,AL,"August 14, 2002",,Jefferson County
Supercenter,2111,5335 Highway 280 South,Hoover,AL,"April 17, 2002",,N/A
Neighborhood Market,3184,3320 Lorna Road,Hoover,AL,"August 14, 2013",,Jefferson County
Supercenter,4497,1007 Red Farmer Drive,Hueytown,AL,"October 15, 2008",,Jefferson County
Discount Store,332,1008 Jordan Lane Northwest,Huntsville,AL,"October 13, 1981","September 12, 1995",Madison County
Supercenter,332,6140 University Drive,Huntsville,AL,"September 13, 1995",,N/A
Discount Store,375,2009 Drake Avenue Southwest,Huntsville,AL,"July 26, 1981","October 22, 1996",Madison County
Discount Store,375,2900 Memorial Parkway Southwest,Huntsville,AL,"October 23, 1996","October 14, 2014",Madison County
Supercenter,375,3031 Memorial Parkway Southwest,Huntsville,AL,"October 15, 2014",,Madison County
Discount Store,433,3515 Memorial Parkway Northwest,Huntsville,AL,"August 11, 1981","February 26, 1991",Madison County
Discount Store,433,3240 Memorial Parkway Northwest,Huntsville,AL,"February 27, 1991","March 16, 2004",Madison County
Supercenter,433,2200 Sparkman Drive,Huntsville,AL,"March 17, 2004",,Madison County
Discount Store,434,10010 Memorial Parkway Southwest,Huntsville,AL,"August 11, 1981","June 28, 1989",Madison County
Discount Store,434,11202 Memorial Parkway Southwest,Huntsville,AL,"June 29, 1989","May 21, 1996",Madison County
Supercenter,434,11610 Memorial Parkway Southwest,Huntsville,AL,"May 22, 1996",,Madison County
Neighborhood Market,3185,4226 Oakwood Avenue Northwest,Huntsville,AL,"November 5, 2014","December 20, 2024",Madison County
Supercenter,5197,330 Sutton Road,Huntsville,AL,"January 26, 2005",,Madison County
Supercenter,5703,8580 Highway 72 West,Huntsville,AL,"October 26, 2012",,N/A
Neighborhood Market,5716,9020 Bailey Cove Road Southeast,Huntsville,AL,"January 27, 2016",,Madison County
Pickup,5746,7520 Highway 72 West,Huntsville,AL,"April 6, 2016",2019,N/A
Neighborhood Market,5925,2305 Jordan Lane Southwest,Huntsville,AL,"October 5, 2016",,Madison County
Pharmacy,7254,1 Cottonwood Drive Northwest,Huntsville,AL,"December 9, 2013",,N/A
Supercenter,7324,2165 Winchester Road Northeast,Huntsville,AL,"June 1, 2016",,Madison County
Discount Store,1711,"Grants Mill Station, 5401 Beacon Drive",Irondale,AL,"July 2, 1991","October 23, 2007",N/A
Supercenter,2760,4206 College Avenue,Jackson,AL,"September 15, 1999",,Clarke County
Discount Store,300,1555 Pelham Road South,Jacksonville,AL,"October 14, 1980","January 25, 2005",Calhoun County
Supercenter,300,1625 Pelham Road South,Jacksonville,AL,"January 26, 2005",,Calhoun County
Discount Store,287,1200 Highway 78 West,Jasper,AL,"November 27, 1979","September 22, 1992",N/A
Supercenter,287,1801 Highway 78 East,Jasper,AL,"September 23, 1992",,N/A
Discount Store,562,"Cedar Springs Shopping Center, 1550 Ashville Road Northeast",Leeds,AL,"November 1, 1983","October 12, 1999",N/A
Supercenter,562,8551 Whitfield Avenue,Leeds,AL,"October 13, 1999",,St. Clair County
Discount Store,377,1303 North Washington Street,Livingston,AL,"December 1, 1981","January 24, 2006",N/A
Supercenter,2690,8650 Madison Boulevard,Madison,AL,"October 28, 1998",,Madison County
Neighborhood Market,7342,7140 Wall Triana Highway,Madison,AL,"January 7, 2015",,Madison County
Supercenter,4318,145 Kelley Boulevard,Millbrook,AL,"June 13, 2007",,Elmore County
Discount Store,853,7797 Airport Boulevard,Mobile,AL,"August 20, 1985","August 12, 1997",Mobile County
Supercenter,853,685 Schillinger Road,Mobile,AL,"August 13, 1997",,Mobile County
Discount Store,866,5441 Highway 90 West,Mobile,AL,"June 30, 1988","October 14, 1997",N/A
Supercenter,866,5245 Rangeline Service Road South,Mobile,AL,"October 15, 1997",,N/A
Discount Store,991,"Mobile Festival Center, 3725 Airport Boulevard",Mobile,AL,"November 11, 1986","May 14, 2002",N/A
Supercenter,991,101 South Beltline Highway,Mobile,AL,"May 15, 2002",,N/A
Neighborhood Market,4210,1300 North University Boulevard,Mobile,AL,"January 28, 2015",,Mobile County
Supercenter,4581,2500 Dawes Road,Mobile,AL,"March 7, 2008",,Mobile County
Neighborhood Market,4648,6575 Airport Boulevard,Mobile,AL,"January 29, 2014",,Mobile County
Neighborhood Market,4657,6350 Cottage Hill Road,Mobile,AL,"June 25, 2008",,Mobile County
Neighborhood Market,5098,1970 South University Boulevard,Mobile,AL,"January 15, 2003",,N/A
Neighborhood Market,5740,2570 Government Boulevard,Mobile,AL,"November 11, 2015",,Mobile County
Discount Store,1493,465 Pike Street,Monroeville,AL,"August 1, 1990","March 17, 2009",Monroe County
Supercenter,1493,3371 South Alabama Avenue,Monroeville,AL,"March 18, 2009",,Monroe County
Discount Store,930,2401 East South Boulevard,Montgomery,AL,"July 1, 1986","August 17, 1999",Montgomery County
Supercenter,930,3801 Eastern Boulevard,Montgomery,AL,"August 18, 1999",,Montgomery County
Discount Store,938,5901 Atlanta Highway,Montgomery,AL,"July 1, 1986","October 23, 2001",Montgomery County
Supercenter,938,6495 Atlanta Highway,Montgomery,AL,"October 24, 2001",,Montgomery County
Supercenter,4407,10710 Chantilly Parkway,Montgomery,AL,"April 18, 2007",,Montgomery County
Neighborhood Market,4672,1600 Federal Drive,Montgomery,AL,"January 27, 2016",,Montgomery County
Neighborhood Market,4691,8035 Vaughn Road,Montgomery,AL,"March 2, 2016",,Montgomery County
Supercenter,5348,851 Ann Street,Montgomery,AL,"July 19, 2006",,Montgomery County
Discount Store,394,11655 Highway 157,Moulton,AL,"December 1, 1981","January 25, 2005",Lawrence County
Supercenter,394,15445 Highway 24,Moulton,AL,"January 26, 2005",,N/A
Discount Store,660,"Southgate Mall, 519 West Avalon Avenue",Muscle Shoals,AL,"May 28, 1983","July 18, 1995",N/A
Supercenter,660,301 Avalon Avenue,Muscle Shoals,AL,"July 19, 1995",,Colbert County
Neighborhood Market,3779,10188 Highway 431 South,New Hope,AL,"December 17, 2014","January 28, 2016",N/A
Discount Store,2306,5710 McFarland Boulevard,Northport,AL,"May 31, 1995","April 8, 2003",Tuscaloosa County
Supercenter,2306,5710 McFarland Boulevard,Northport,AL,"April 9, 2003",,Tuscaloosa County
Neighborhood Market,5248,"Northport Corners Shopping Center, 1660 McFarland Boulevard",Northport,AL,"August 31, 2016",,N/A
Discount Store,315,27550 Highway 75 South,Oneonta,AL,"October 14, 1980",August 1996,N/A
Supercenter,315,2453 2nd Avenue East,Oneonta,AL,August 1996,,Blount County
Discount Store,355,918 Columbus Parkway,Opelika,AL,"November 18, 1980","March 1, 1993",Lee County
Discount Store,355,"Pepperell Corners, 2500 Pepperell Parkway",Opelika,AL,"March 2, 1993","May 14, 2002",N/A
Supercenter,355,2900 Pepperell Parkway,Opelika,AL,"May 15, 2002",,Lee County
Neighborhood Market,5653,25241 Perdido Beach Boulevard,Orange Beach,AL,"May 18, 2011",,Baldwin County
Discount Store,809,900 Quintard Drive,Oxford,AL,"August 30, 1985","March 26, 1996",N/A
Supercenter,809,92 Plaza Lane,Oxford,AL,"March 27, 1996",,Calhoun County
Discount Store,740,"Ozark Square Shopping Center, 270 North Union Avenue",Ozark,AL,"July 4, 1981",1985,N/A
Discount Store,740,"Martindale Plaza, 401 Highway 231 South",Ozark,AL,1985,December 1993,N/A
Discount Store,740,1537 Highway 231 South,Ozark,AL,December 1993,"April 8, 2003",N/A
Supercenter,740,1537 Highway 231 South,Ozark,AL,"April 9, 2003",,N/A
Discount Store,423,3000 Montgomery Parkway,Pelham,AL,"December 1, 1981","May 23, 1995",N/A
Discount Store,423,3500 Pelham Parkway,Pelham,AL,"May 24, 1995","August 23, 2005",Shelby County
Supercenter,5262,2181 Pelham Parkway,Pelham,AL,"March 17, 2004",,Shelby County
Supercenter,5113,165 Vaughan Lane,Pell City,AL,"July 16, 2003",,St. Clair County
Discount Store,1284,800 22nd Avenue,Phenix City,AL,"April 3, 1989","August 18, 1998",N/A
Supercenter,1284,3700 Highway 280-431 North,Phenix City,AL,"August 19, 1998",,N/A
Neighborhood Market,5903,3864 Highway 80 West,Phenix City,AL,"January 20, 2016",,N/A
Discount Store,483,1722 East Main Street,Prattville,AL,"October 5, 1982","August 20, 1996",Autauga County
Supercenter,483,1903 Cobbs Ford Road,Prattville,AL,"August 21, 1996",,Autauga County
Discount Store,863,3077 US Highway 431,Roanoke,AL,"October 15, 1985","March 16, 2004",N/A
Supercenter,863,4180 US Highway 431,Roanoke,AL,"March 17, 2004",,N/A
Supercenter,6173,21141 Highway 59,Robertsdale,AL,"September 24, 2014",,N/A
Discount Store,403,15485 Highway 43,Russellville,AL,"November 3, 1981","January 25, 2005",Franklin County
Supercenter,403,13675 Highway 43,Russellville,AL,"January 26, 2005",,Franklin County
Discount Store,1212,727 Highway 43 South,Saraland,AL,"September 1, 1988","August 20, 1996",N/A
Supercenter,1212,1095 Industrial Parkway,Saraland,AL,"August 21, 1996",,Mobile County
Discount Store,712,"Jackson Square Shopping Center, 1601 South Broad Street",Scottsboro,AL,"July 4, 1981","March 20, 1990",N/A
Discount Store,712,"Jackson Square Shopping Center, 1509 South Broad Street",Scottsboro,AL,"March 21, 1990","September 14, 1999",N/A
Supercenter,712,24833 John T. Reid Parkway,Scottsboro,AL,"September 15, 1999",,Jackson County
Discount Store,700,"Valley Creek Shopping Center, 212 Highland Avenue",Selma,AL,"July 4, 1981","September 26, 1995",N/A
Supercenter,700,1501 Highway 14 East,Selma,AL,"September 27, 1995",,N/A
Supercenter,5174,7855 Moffett Road,Semmes,AL,"January 21, 2004",,Mobile County
Discount Store,660,"Towne Plaza Shopping Center, 500 South Montgomery Avenue",Sheffield,AL,"July 4, 1981","May 27, 1983",N/A
Neighborhood Market,2165,952 East Lawrence Harris Highway,Slocomb,AL,"December 10, 2014","January 28, 2016",N/A
Neighborhood Market,2260,87395 US Highway 278,Snead,AL,"November 5, 2014","January 28, 2016",N/A
Supercenter,3386,160 Springville Station Boulevard,Springville,AL,"January 23, 2006",,St. Clair County
Supercenter,2723,690 Highway 78,Sumiton,AL,"September 15, 1999",,Walker County
Discount Store,730,211 West Fort Williams Street ,Sylacauga,AL,"July 4, 1981",March 1996,Talladega County
Supercenter,730,"Payton Park, 41301 US Highway 280",Sylacauga,AL,March 1996,,N/A
Discount Store,432,"Northgate Shopping Center, 65362 Highway 77",Talladega,AL,"August 18, 1981",1989,N/A
Discount Store,432,214 Haynes Street,Talladega,AL,1989,"April 20, 2004",Talladega County
Supercenter,432,214 Haynes Street,Talladega,AL,"April 21, 2004",,Talladega County
Discount Store,1057,"Patton Plaza Shopping Center, 1300 Gilmer Avenue",Tallassee,AL,"February 3, 1987","July 22, 2014",N/A
Supercenter,1057,2190 Gilmer Avenue,Tallassee,AL,"July 23, 2014",,Elmore County
