Type,No.,Address,City,St.,Opened,Closed,County
Discount Store,763,"Belleview Plaza West, 7100 Aaron Aronov Drive",Fairfield,Alabama,"November 13, 1984","September 19, 2006",N/A
Supercenter,763,7201 Aaron Aronov Drive,Fairfield,Alabama,"September 20, 2006","January 28, 2016",Jefferson County
Supercenter,4333,10040 County Road 48,Fairhope,Alabama,"July 18, 2007",,N/A
Discount Store,1052,1610 Temple Avenue,Fayette,Alabama,"February 3, 1987","June 15, 1999",N/A
Supercenter,1052,3186 Highway 171 North,Fayette,Alabama,"June 16, 1999",,N/A
Discount Store,766,"Wal-Mart Plaza, 356 Cox Creek Parkway",Florence,Alabama,"November 13, 1984","March 26, 1996",N/A
Supercenter,766,3100 Hough Road,Florence,Alabama,"March 27, 1996",,Lauderdale County
Supercenter,4187,2701 Cloverdale Road,Florence,Alabama,"January 15, 2014",,Lauderdale County
Neighborhood Market,4188,1410 Florence Boulevard,Florence,Alabama,"June 12, 2013",,Lauderdale County
Discount Store,904,1100 South McKenzie Street,Foley,Alabama,"January 21, 1986","October 19, 1993",N/A
Supercenter,904,2200 South McKenzie Street,Foley,Alabama,"October 20, 1993",,N/A
Discount Store,691,"DeKalb Plaza, 100 DeKalb Plaza Boulevard",Fort Payne,Alabama,"July 4, 1981",October 1996,N/A
Supercenter,691,2001 Glenn Boulevard Southwest,Fort Payne,Alabama,October 1996,,DeKalb County
Discount Store,301,3000 East Meighan Boulevard,Gadsden,Alabama,"August 12, 1980",November 1990,Etowah County
Discount Store,301,401 George Wallace Drive,Gadsden,Alabama,November 1990,"April 12, 2005",N/A
Supercenter,301,340 East Meighan Boulevard,Gadsden,Alabama,"April 13, 2005",,Etowah County
Discount Store,1201,655 Fieldstown Road,Gardendale,Alabama,"August 6, 1988","May 20, 2003",Jefferson County
Supercenter,1201,890 Odum Road,Gardendale,Alabama,"May 21, 2003",,Jefferson County
Discount Store,1063,1608 West Magnolia Avenue,Geneva,Alabama,"September 1, 1987",,Geneva County
Neighborhood Market,3769,3530 Cathedral Caverns Highway,Grant,Alabama,"November 12, 2014","January 28, 2016",Marshall County
Discount Store,1462,129 Interstate Drive,Greenville,Alabama,"April 30, 1990","August 24, 2004",Butler County
Supercenter,1462,501 Willow Lane,Greenville,Alabama,"August 25, 2004",,Butler County
Supercenter,2748,170 Fort Morgan Road,Gulf Shores,Alabama,"July 21, 2004",,N/A
Discount Store,681,"Southgate Plaza, 14300 US Highway 431",Guntersville,Alabama,"July 4, 1981","February 20, 1996",N/A
Supercenter,681,11697 US Highway 431,Guntersville,Alabama,"February 21, 1996",,N/A
Neighborhood Market,2235,6361 Highway 72 East,Gurley,Alabama,"December 3, 2014","January 28, 2016",N/A
Discount Store,409,42417 Highway 195,Haleyville,Alabama,"October 13, 1981","May 7, 2013",N/A
Supercenter,409,42466 Highway 195,Haleyville,Alabama,"May 8, 2013",,N/A
Discount Store,1100,1500 Military Street South,Hamilton,Alabama,"December 31, 1987","July 17, 2007",Marion County
Supercenter,1100,1706 Military Street South,Hamilton,Alabama,"July 18, 2007",,Marion County
Discount Store,1124,"Town & Country Plaza, 800 Highway 31 Southwest",Hartselle,Alabama,"October 1, 1987","September 9, 1997",N/A
Supercenter,1124,1201 Highway 31 Northwest,Hartselle,Alabama,"September 10, 1997",,N/A
Supercenter,6878,14595 North Highway 231/432 North,Hazel Green,Alabama,"March 11, 2015",,N/A
Neighborhood Market,2173,14331 County Road 99,Headland,Alabama,"September 24, 2014","January 28, 2016",N/A
Neighborhood Market,4189,335 Helena Market Place,Helena,Alabama,"November 6, 2013",,N/A
Discount Store,1481,209 Lakeshore Parkway,Homewood,Alabama,"October 29, 1990","April 29, 1998",Jefferson County
Supercenter,1481,209 Lakeshore Parkway,Homewood,Alabama,"April 30, 1998",,Jefferson County
Discount Store,1229,1855 Montgomery Highway,Hoover,Alabama,"April 3, 1989","August 13, 2002",Shelby County
Supercenter,1229,2780 John Hawkins Parkway,Hoover,Alabama,"August 14, 2002",,Jefferson County
Supercenter,2111,5335 Highway 280 South,Hoover,Alabama,"April 17, 2002",,N/A
Neighborhood Market,3184,3320 Lorna Road,Hoover,Alabama,"August 14, 2013",,Jefferson County
Supercenter,4497,1007 Red Farmer Drive,Hueytown,Alabama,"October 15, 2008",,Jefferson County
Discount Store,332,1008 Jordan Lane Northwest,Huntsville,Alabama,"October 13, 1981","September 12, 1995",Madison County
Supercenter,332,6140 University Drive,Huntsville,Alabama,"September 13, 1995",,N/A
Discount Store,375,2009 Drake Avenue Southwest,Huntsville,Alabama,"July 26, 1981","October 22, 1996",Madison County
Discount Store,375,2900 Memorial Parkway Southwest,Huntsville,Alabama,"October 23, 1996","October 14, 2014",Madison County
Supercenter,375,3031 Memorial Parkway Southwest,Huntsville,Alabama,"October 15, 2014",,Madison County
Discount Store,433,3515 Memorial Parkway Northwest,Huntsville,Alabama,"August 11, 1981","February 26, 1991",Madison County
Discount Store,433,3240 Memorial Parkway Northwest,Huntsville,Alabama,"February 27, 1991","March 16, 2004",Madison County
Supercenter,433,2200 Sparkman Drive,Huntsville,Alabama,"March 17, 2004",,Madison County
Discount Store,434,10010 Memorial Parkway Southwest,Huntsville,Alabama,"August 11, 1981","June 28, 1989",Madison County
Discount Store,434,11202 Memorial Parkway Southwest,Huntsville,Alabama,"June 29, 1989","May 21, 1996",Madison County
Supercenter,434,11610 Memorial Parkway Southwest,Huntsville,Alabama,"May 22, 1996",,Madison County
Neighborhood Market,3185,4226 Oakwood Avenue Northwest,Huntsville,Alabama,"November 5, 2014","December 20, 2024",Madison County
Supercenter,5197,330 Sutton Road,Huntsville,Alabama,"January 26, 2005",,Madison County
Supercenter,5703,8580 Highway 72 West,Huntsville,Alabama,"October 26, 2012",,N/A
Neighborhood Market,5716,9020 Bailey Cove Road Southeast,Huntsville,Alabama,"January 27, 2016",,Madison County
Pickup,5746,7520 Highway 72 West,Huntsville,Alabama,"April 6, 2016",2019,N/A
Neighborhood Market,5925,2305 Jordan Lane Southwest,Huntsville,Alabama,"October 5, 2016",,Madison County
Pharmacy,7254,1 Cottonwood Drive Northwest,Huntsville,Alabama,"December 9, 2013",,N/A
Supercenter,7324,2165 Winchester Road Northeast,Huntsville,Alabama,"June 1, 2016",,Madison County
Discount Store,1711,"Grants Mill Station, 5401 Beacon Drive",Irondale,Alabama,"July 2, 1991","October 23, 2007",N/A
Supercenter,2760,4206 College Avenue,Jackson,Alabama,"September 15, 1999",,Clarke County
Discount Store,300,1555 Pelham Road South,Jacksonville,Alabama,"October 14, 1980","January 25, 2005",Calhoun County
Supercenter,300,1625 Pelham Road South,Jacksonville,Alabama,"January 26, 2005",,Calhoun County
Discount Store,287,1200 Highway 78 West,Jasper,Alabama,"November 27, 1979","September 22, 1992",N/A
Supercenter,287,1801 Highway 78 East,Jasper,Alabama,"September 23, 1992",,N/A
Discount Store,562,"Cedar Springs Shopping Center, 1550 Ashville Road Northeast",Leeds,Alabama,"November 1, 1983","October 12, 1999",N/A
Supercenter,562,8551 Whitfield Avenue,Leeds,Alabama,"October 13, 1999",,St. Clair County
Discount Store,377,1303 North Washington Street,Livingston,Alabama,"December 1, 1981","January 24, 2006",N/A
Supercenter,2690,8650 Madison Boulevard,Madison,Alabama,"October 28, 1998",,Madison County
Neighborhood Market,7342,7140 Wall Triana Highway,Madison,Alabama,"January 7, 2015",,Madison County
Supercenter,4318,145 Kelley Boulevard,Millbrook,Alabama,"June 13, 2007",,Elmore County
Discount Store,853,7797 Airport Boulevard,Mobile,Alabama,"August 20, 1985","August 12, 1997",Mobile County
Supercenter,853,685 Schillinger Road,Mobile,Alabama,"August 13, 1997",,Mobile County
Discount Store,866,5441 Highway 90 West,Mobile,Alabama,"June 30, 1988","October 14, 1997",N/A
Supercenter,866,5245 Rangeline Service Road South,Mobile,Alabama,"October 15, 1997",,N/A
Discount Store,991,"Mobile Festival Center, 3725 Airport Boulevard",Mobile,Alabama,"November 11, 1986","May 14, 2002",N/A
Supercenter,991,101 South Beltline Highway,Mobile,Alabama,"May 15, 2002",,N/A
Neighborhood Market,4210,1300 North University Boulevard,Mobile,Alabama,"January 28, 2015",,Mobile County
Supercenter,4581,2500 Dawes Road,Mobile,Alabama,"March 7, 2008",,Mobile County
Neighborhood Market,4648,6575 Airport Boulevard,Mobile,Alabama,"January 29, 2014",,Mobile County
Neighborhood Market,4657,6350 Cottage Hill Road,Mobile,Alabama,"June 25, 2008",,Mobile County
Neighborhood Market,5098,1970 South University Boulevard,Mobile,Alabama,"January 15, 2003",,N/A
Neighborhood Market,5740,2570 Government Boulevard,Mobile,Alabama,"November 11, 2015",,Mobile County
Discount Store,1493,465 Pike Street,Monroeville,Alabama,"August 1, 1990","March 17, 2009",Monroe County
Supercenter,1493,3371 South Alabama Avenue,Monroeville,Alabama,"March 18, 2009",,Monroe County
Discount Store,930,2401 East South Boulevard,Montgomery,Alabama,"July 1, 1986","August 17, 1999",Montgomery County
Supercenter,930,3801 Eastern Boulevard,Montgomery,Alabama,"August 18, 1999",,Montgomery County
Discount Store,938,5901 Atlanta Highway,Montgomery,Alabama,"July 1, 1986","October 23, 2001",Montgomery County
Supercenter,938,6495 Atlanta Highway,Montgomery,Alabama,"October 24, 2001",,Montgomery County
Supercenter,4407,10710 Chantilly Parkway,Montgomery,Alabama,"April 18, 2007",,Montgomery County
Neighborhood Market,4672,1600 Federal Drive,Montgomery,Alabama,"January 27, 2016",,Montgomery County
Neighborhood Market,4691,8035 Vaughn Road,Montgomery,Alabama,"March 2, 2016",,Montgomery County
Supercenter,5348,851 Ann Street,Montgomery,Alabama,"July 19, 2006",,Montgomery County
Discount Store,394,11655 Highway 157,Moulton,Alabama,"December 1, 1981","January 25, 2005",Lawrence County
Supercenter,394,15445 Highway 24,Moulton,Alabama,"January 26, 2005",,N/A
Discount Store,660,"Southgate Mall, 519 West Avalon Avenue",Muscle Shoals,Alabama,"May 28, 1983","July 18, 1995",N/A
